城市,0-14岁,15-59岁,60-65岁,65岁以及上
,,,,
成都市,13.28,68.74,4.36,13.62
自贡市,15.77,56.89,6.05,21.29
攀枝花市,14.0,66.24,3.88,15.88
泸州市,18.23,58.78,5.34,17.65
德阳市,13.06,61.13,5.56,20.25
绵阳市,14.13,62.16,5.35,18.36
广元市,15.37,60.13,5.69,18.81
遂宁市,15.52,59.29,5.34,19.85
内江市,15.55,59.22,5.2,20.03
乐山市,14.11,61.39,5.31,19.19
南充市,15.72,58.28,5.31,20.69
眉山市,14.01,61.26,4.71,20.02
宜宾市,18.73,60.7,4.81,15.76
广安市,17.55,57.65,5.23,19.57
达州市,17.29,60.35,4.4,17.96
雅安市,15.39,63.16,4.44,17.01
巴中市,17.35,58.19,4.79,19.67
资阳市,16.75,55.06,5.57,22.62
阿坝藏族羌族自治州,18.87,66.8,3.52,10.81
甘孜藏族自治州,22.99,65.65,3.0,8.36
凉山彝族自治州,27.64,59.92,2.95,9.49
